,Message,Target
51, All Pret-a-manger & some marks & spencers stores in the UK donate their food at the end of the day. Most lock their bins,1
52, Thanks - that works a treat  Need to post that xml really though - thinking about how to emulate rails` ActiveResource,0
53, i got bored   lunch time?,0
54,Trips are soooo not fun when you`re sick,0
55, a riot refugee's resolve and more. Also in epaper. ,0
56,Economic Survey is to be tabled in the Parliament shortly. Know your Economic Survey: ,1
57,William_williams I have the mike and everything if that is what you mean  This is all so new to me lol,1
58, killed in airport by to  women with poisoned needles.,0
59,"just played like, 5 games of dota hahaha. I wanna go home",1
60," lol good..glad to hear it! I was totally paranoid when i bit of hair touched my ear or cheek, was mad! Ha! How`s you?",1
61,screw it lemme click on a ticket. preetttty sure i can make it. might not make it for vermillion lies opening tho,0
62,My salary reminds me of the weekends,0
63,"  Chocolate-flavoured **** spread (with applicator) eh?  Perfect just what I`d been looking for, thanks",1
64,Sixth spot not applicable Team! Higher pa! :)KISSES TheFashionIcon.1,1
65,Tired.....but can`t go to bed yet.....,0
66,"I`m making my mommy her Mother`s day present, I love her",1
67,I went to prom tonight.  My hair was cooler this time around...and I did it myself for free.,1
68,I ate too many kisses.,1
69,"Brisbane - Ford - Falcon Ef - 1995 - $4,000  - new ad received and will be posted on the HCC site soon",0
70,Welcome happy,1
71," It`s the 'Vampire tarot of the eternal night', Lo Scarabeo, going to be released sometime this autumn  Cool, huh?",1
72, HAHA ...Your Hotter Than Justin Timberlake,1
73,Sad day in the office. Glad it`s Friday. Like to get away from this for a while. Poor co-worker just lost her son.,0
74, U R 'happiness pollinator' 4 shizzle.   Good friend you are.. I am smiling!,1
75, and within a short time of the last clue all of them,1
76,"He hated my writing, so I made him my academic adviser.",0
77,"Already up and in the clouds, cod4 and French toast, best day of my life",1
78," please let me know when you`ve found it  I`d like to know as well, although it`s handy on your mobile...",1
79,mom is on her way home  but yay for mother son days! she even bought some new shoes. haha.,0
80,I have to stop writing in Swedish or I`ll lose my nice followers. Back on the international track,1
81,Please read my friend`s post and leave a comment  http://tinyurl.com/czb2sg,1
82,Back at work,0
83,weblogamo up kardam ama moteasefane baz postesh kootah shod  albate khob chizi nadashtam ke begam,1
84," Yes, but I`m quite rusty.  I`m hoping to get back to it and 'tune up' my skills.  Tim plays guitar.  We threaten duets.",0
85,It`s Going To Be A Busy Day  And That Sucks Cause I Wanted To Spend Time With Someone Earlier Today,0
86, I feel so inadequate with my 250 followers now ... Send Enzyte!,0
87, Haha and you should! State pride is important,1
88, Haha I think we`re all in the same situation! lol,1
89,"_watson   Sorry address was wrong. where I put samuel in the address, it should be just sam. I am having a stupid brain day today.",0
90,almost time to take the kids to school,0
91, get a dog. :D,1
92,A Chub bun because its Easter! Happy Easter!  His name is Almond! :D.1,1
93,Minister,1
94,Good morning tweeps. Busy this a.m. but not in a working way,1
95,"stupid rain, now our picnic is cancelled till tomorrow",1
96," *JEALOUS* I desperately wanna go shopping, but alas, I have no cash.",0
97,I ripped my favorite pair of jeans.,1
98,Signing out for the night - have a good Sunday night all,1
99,Yay almost home i had to go walking today .....,1
100,Hijacked Indian Dhow Al-Kausar released ,0
101,Awe. were going to meijer. not walmart. walmarts better.,0
102,Otw my to church..,0
103," Please send me those youtube links, Erin watched most of them but I was cooking and didn`t get to see the cowboys",1
104,to  beautiful ladies and so full of fun and body confidence. .. then on the s ,0
105, Thanks,0
106, airsoft is so much fun! i play with my brothers and it`s a great bonding experience.,0
107,shake shake shake shake shake it,1
108,Your titties are fantastic. Kissy Kissy,1
109,So sad that Aki is out for the rest of the season!,0
110, you didnt even send me a nice bid  #twpp,0
111,"_pentagram trip with school! get to go see a west end show and loads more stuff, its gonna be great",0
112,TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,0
113, Been crazy busy here! *grins* It`s Mother`s Day weekend. Lots of my abies sending me well wishes,1
114, What phone do you have -- an old rotary?,0
115," I believe the address is 300 Ottawa Ave. NW, Grand Rapids, MI (Calder Plaza), wish I could`ve seen you guys last night or today",0
116,A PM who hangs out,1
117,"  Hi, Thx for following  I teach some Chinese lessons on youtube, pls feel free to have a look www.youtube.com/ChineseLearn",1
118, Thank you!,0
119,Setting up court at home,0
120,Mother`s day has already began! Congratulations Mom! Love u and u know it,1
121,my online portfolio is down  great...esp when jobs are trying to look at it,0
122," He`s too old school for burnouts. Just a lap around the track, like they used to.  #NASCAR",1
123,hey.1,1
124, SOWWY  I had 2 get up at 6:30 this morning,0
125,Our crazy EASTER! Our donkey is insane! Seriously crazy haha!,1
126, its open now??? Its so good!!! But didn`t agree w/me,0
127, i am tempted to say that twitter is the best thing since sliced bread  #togs,0
128,"  I just got through doing my work now I can take the whole day off, its great being your own boss",1
129, i emailed you back baby   how goes???,0
130, Thanks.,0
131,the best things in life are free  x,1
132," Loved your running Trek film posts over the weekend. Will probably wait a few days to see new one, so no spoiler tweets!",0
133,like wat do i do wat do i do.........HA i got it i`ll go 2 mushygushy...... so peace out twitter dudes i got a gushy gram 2 make,0
134,Thinking of making a Google Wave wordpress plugin in the next months... Really want to test it,0
135,"shady`s making me  Trying to code something, if you know php, HELP!",0
136,Feeling so shit today unhappy ,0
137,Koalas are dying of thirst  and it's all because of us unhappy  .6,0
138,@_Enigma__ OMG daon`t tell me you have watched twilight enuff to know that !!,1
139,ready for a new week,1
140,'He was interesting..and brilliant..and mysterious..and perfect..and beautiful..and possibly able to lift full-sized vans with one hand',1
141,Omg!!! Is this the sun glimpsing through the clouds?! Woohoo!,0
142,I couldn`t have planned a better surprise party for my hubby,1
143,"_Lex_Ah hey alexa, you heard right  looking forward to causing some mischief on friday!!",1
144,doesnt want to go to work,0
145,Ahhhh the calm after the storm.  All is quiet. Night everyone and Happy Mothers Day to those it applies to,1
146," Aw, that song makes me think of girl scouts.",1
147, awww shooks  now im gon be all overprotective just incase you start cybercheatin on me lol,1
148,likely to hear PIL against swearing-in today ,0
149,Watching WALL-E.....it`s so cute but sad,0
150,Have a huge block of snack chocolate here. Tis calling my name already,0
151,Had quite a cool day with Charlie and then Ben aswell (: got lost and stung by nettles,1
152,Thanks for the recent follow Happy to connect happy  have a great Thursday..20,1
153,Scout photobombed my bluebells photo sad  ,0
154, all my recording eqpmnts out. a full day 2 myself and minds gone blank. outfit for G-A-Y still nt arrived eitha,1
155,I guess I`m just not smoking tonight,0
156,happy sunday all,1
157,Such a lucky slave i wish this was me unhappy ,0
158,"Has a bad feeling that this time next yr, her fav musical may no longer be on the West End",0
159,In the dentist chair with a very numb left side for crown prep. Not fun to keep mouth open this long,0
160, shes must be a truly amazing woman for having a phenomenal son..,0
161,Oh no... The sun`s gone!,0
162,Ahh man up and getting ready for work  I wanna sleep!!!,0
163,"maybe going to see the hannah montana movie todaaaay  i`ve seen it one time before, but can`t wait to see it again!!",0
164,finally got my own set of keys for the store. how should i celebrate?,1
165,"Going to bed, stores are closed",1
166,instant message cramping sad ,0
167, kandivali   my girls r gonna kill u for that answer!    ,0
168," I checked ULCA, they`ve got a program in producing, I`ll be so much interested in. But....",0
169,Thanks for the recent follow Happy to connect happy  have a great Thursday..9,1
170,"Oops. I overlooked this LOLdog, also germane to #starwarsday :  http://tinyurl.com/cmal68 This is one of my earlier and better efforts",1
171,extremely bored.,0
172,India's Supreme Court shuts highway booze hatch. ,0
173,Her back unhappy  .4,0
174, Good luck on your first day !!!!,1
175,Watching scary movies with Ruby and Michael,1
176, **** i missed it too,1
177," It`s not a reg gig yet, but hopefully it will be! Haven`t done massage in a while actually",0
178,Just got home from school. Doing assignments.,0
179,sad ending to the softball season.,0
180," Far from it. Bali, a wonderful place but wouldn`t have such music. Not that I have asked. Should I?",1
181,_Oyler Poor little woman with her smushed in head,0
182, Are they abusing your service? Manual follower management is a pain. I love the style.,0
183, just kept going unhappy  ,0
184," Hi, I teach some Chinese lessons on youtube... Feel free to have a look  www.youtube.com/ChineseLearn",0
185," oh, and thanks for the help",1
186," I`d hang with you, but... Tennessee.",0
187, ta3ally ma3ahaa w e83idy sa5neeha ly 6ool el 6ireee8  astaaahil wla :-p <<< kfff looool wallah thx bard w 7ar ahm shy 8ahwaaa =|,1
188,Is working out the twitter kinks,0
189,Shopping!,1
190,Roc Boyz sad  .3,0
191, I want an invite - sick of seeing all these links for people playing and being left out,0
192,http://twitpic.com/4w9ce - my future car ! I love it !,1
193,Unnamed: 582,0
194, thanks for the follow,1
195,bye daddy!! see you on tuesday,1
196,Wondering if i cld make things any worse than they already are... answer.. JUST DID!!!,0
197,is going back home  love ya Zagrebe <3,1
198,Just got back from the concert! Some mistakes... I kinda failed my Macedonian test  But my relatives from Serbia are here! WooHoo!!!,0
199, yeah i want to know what that is too!,0
200, don`t encourage me... I`ve got years of this stuff. you will regret it !,0
201," maybe its because my computer committed suicide this week, but your 'faves' link wont load",0
202,wooh! 100th tweet  i have no life xD,0
203,Definitely my arms unhappy  ,0
204," I had to look at it 3 times before it sunk in, totally shocked by it  tbh.",0
205,"That kids is what you get when you leave your computer unattended, when you have non-trustworthy company...",0
206, Stylish soap; lots of sexy people; now we just need a version dubbed in english!  Keep up the good work... Bruno,0
207," Yeaa I Know She is Smartier Then That, plus She Knows The real Thing Is Better Lol",0
208, nothing bout 2 go 2 work,1
209,Does anyone have a 7 adapter or 7 earbuds i can borrow for the day? Left mine in my car unhappy ,0
210, a dying language,1
211," The Air that I Breathe, Just Like a Pill - you know the kind of thing - makes a change to Daniel O`Donnell and Jim Reeves",1
212,JK: Schools  colleges shut down after clashes,0
213, YEA!! Way to go! Super excited for a great Midwest resource!!! Midwest pride!,1
214,Trump national security adviser Flynn resigns in controversy over Russian contacts ,1
215,"im well exited for this weekend, partaaaay! although i dont want to go back to school on Tuesday",1
216,_Tempter Blog de uns colegas meus de BH,0
217, I told you ... big head.,0
218,_s Can`t test it...my demo license expired yesterday,1
219,Assam lawmaker wants national body to save the ,1
220, i haven`t watch it yet... but it seems like a cool movie.. anyway happy watching...rate it after u go watched it yea..,1
221,good morning unhappy ,0
222,Cabinet approves merger of five subsidiaries of State Bank of India with the state-owned lender: Finance Minister Arun Jaitle,0
223, This is my mini collection of Star Wars figurines in the office.   http://twitpic.com/4j29b - what`s this?,0
224, I was about the followfriday you back and it turned to saturday  Theres always next week! Any movements on the photo site?,0
225,rain rain go away.  had to cancel my pool plans! tragic.,1
226, a bit too early for me and wanting to have nice lunch too... have a good time,1
227,Rest in peace Sheeba. You will be very missed. I`m off to go cry now.,0
228,We love that our bloggers love us so much happy  Thank you for such an amazing review The Perfect Glasses h,1
229, Tried and no good but thanks anyway.   Off to youtube world.,0
230,I have a stupid Recall on my car,0
231,Tv arrived but can`t play cos have to go to stupid work,0
232,People I Have It Arnt I Brainy. Well No Not Really Teacher Put The Powerpoint In My Book  Helps Alot!,0
233, sucks that i had to delete it,0
234,your an inspiration to everyone Miss Jones happy,1
235,leaving tomorrow,1
236, Your hair is MY matt ball  <3,1
237, they are finally getting ready i see on msn  ahaha  have fun fun fun,1
238,Sharad wants Gujarat CM arrested for trying to push making meat a communal issue.  ,1
239,The voice of Nemo turns 15 today. Thanks #NPR,1
240,all in a days` nasism,0
241,    can I get in on this?!   3 way call !!,0
242," I so need a tweet editor. Yes, I meant it",1
243, You are so lucky you get to travel.,1
244,"But caught Bullet Boys, Trixter (Pete was great), LA Guns AND Kix (who stole the show). Hung out backstage like a real rock and roller.",1
245, im excited for those pics  send me urs w/ him too  i <3 photoshop lol,1
246, why has it been so long since i have talked to you let alone seen you?? it makes me sad,0
247, oh no!  I hope you get on soon! <3 I miss you and I can`t wait to see you again.,0
248, and more. Also in epaper. .25,0
249,One of my faves too unhappy  I'm tying to get it up on Vimeo so you guys can still watch it x,0
250,http://snipurl.com/hq0n1 Just printed my mom an Amazon gift card  for Happy Mothers Day talk about last minute.,1
251,Centre overrides Bengal,0
252, yes,1
253,In A and E arts Stephani`s horse fell on wet ground and she landed on her head,0
254,"ahhhhh, I am falling asleep here, there is no way I`ll be able to survive Liverpool   Although, I can`t wait to have my Nan`s food.",1
255,Amit Roy on how Maneck Dalal launched International. ,1
256,"Won a diamond for my compï¿½tition  , yaayy tomorow its the DIAMOND DANCE OFF !! Were the best  .. Still in montrï¿½al !!",0
257,if you want info on #ecomonday check out http://tinyurl.com/cpv32e & follow  . It`s like #followfriday but green! (& monday),0
258, Leave multitasking to us women  ,0
259,"I can`t believe Clinton and Bush were both here, doing a seminar together and I did not go",0
260,Someone should bring me breakfast to work unhappy ,0
261,"wants to scream, because the **** phot won`t load...I guess this default will do for now",1
262, That`s love.,0
263," classic, my word you are on a roll this am",0
264, lmao i sure did!!! no luck though,0
265,http://twitpic.com/4j9om - Non-civilisation was pretty though,1
266,"just signed up..so, hello twitter world, here I am",0
267,'yeah them men love them blowjobs' -something you never want to hear your grandma say over breakfast talkin about charles barkley,1
268,I want to give him everything that makes him happy just to see this smile unhappy ,0
269, thx for following,1
270,Well I am up and have been productive since 5:30am!!! Woohoo busy day with lots to do!,1
271,"D-group Saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life`s Good",0
272,"Words can barely describe how **** I feel this morning. Work, then driving to Madison to play Discotech. Driving alone",1
273, aww that`s awful. Makes me so sad,0
274,http://bit.ly/3W9w1  NOOOO! he goes for Orlando! OMG  I`m gonna CRY!!!!!!!!,0
275,_78 yes i have to agree it does,0
276, 2017 at 07:00AM!! kamusta? don't forget to eat your breakfast guys! happy,1
277,Thanks for the recent follow Happy to connect happy  have a great Thursday..7,1
278,I`m feelin aiden today!  on the bus now  Die romatic!!!,0
279,Listening `Hallelujah` on Youtube. Leonard Cohen wins.  #xfactor,1
280,FREE UNLIMITED RINGTONES!!! - http://tinyurl.com/freeringring - USA ONLY - Awesome 4 iphone,1
281,My hair looks really bad  First thing I`m doing is washing it when I get home.,0
282, Out of your car?! Oh no!,1
283,Sonia Sarkar on the jig-gigs that were a key tool in run up to ,1
284,"Just back from dancing. Ahh ballet was SO hard, my legs ache. And we were so high in jazz and contemporary, 3 hours of hilariousness.",1
285, I have a new found respect for you now that I know you know the Konami code!,1
286,please just stop confining animals in zoos unhappy  ,0
287,_night4me *HUGS*  i`m sure they will,0
288,This escalated quickly,0
289, She`s the ruddy manageress - 2nd bad job from her. I can never find a good place beyond 1 or 2 cuts,0
290, talk about drool - the Canon EOS 5D Mark 2 is *amazing*.  Too bad it costs $2k...  http://tinyurl.com/63qoz4,0
291, now I'm really out. happy,1
292," haha when is it? good luck babe  & UPLOAD A PHOTO, WILL YA ?",0
293,last day of Bedford County History with   gossiping and twittering away as usual...,0
294," well, if Twitter was $1 a year, I think it`d be a lot easier to monetize than at $30  Less need for differentiated pay/nopay.",1
295,_erika oh oh! that`s a nice song!  yeah! You ain nuttin budda hawndog!,1
296,rmbr the time when we torned for the night in sentosa? I was the only one who didnt have to spit out the ' 3 unknown facts' abt myself,0
297," well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",0
298, can`t wait for that!! recently bought metallia guitar hero but cant play it coz my sony tv went kaput!,0
299, Happy mothers day sharon,0
300, good morning broham,1
301,Just a couple thoughts....was bored this morning,1
302,I'm surprised you don't use an Adblocker! happy,1
303,_89 I feel so sorry for her  hope she dnt cry 2nd time,0
304, others launch drive against fake news in France ,1
305,life should be exciting today but someone very close to me has mardy bum and its starting to rub off on me!!,0
306,Although technically the major project he gets to do is something that`s communal in theory but always comes to me and is massive/awful.,0
307,its only 0.2! Just give me my 3 points!,1
308,Hmm... It`s my birthday tomorrow... Fun!,0
309,Follow  to a Saga diary and a year's worth of Saga pens :)TCs,1
310,Nearly ran over a pheasant on the driving lesson  Baws.,0
311, well keep me posted if it comes out fully thanks,1
312,Ria got a a G1 phone and im jealous,0
313,just doin some jammin,0
314, okay dokay... coming up,0
315," Yes,i was red like a lobster for days-cuz im too pale- but today finally got a nice color ~~",0
316,"I might be a snob, because my friend-follower ratio is 6",0
317,Municipal in to be held on April 22: State Election Commission,1
318,I day til NYC!!!! and the journey soon begins!!! Music baby,1
319,Roc Boyz sad  .2,0
320, miss ko na nga kayo  hope we can have the shoot soon. Joover!,1
321,That would be a great trick happy.10,1
322,_retweet I do my best - that`s why running skirts are on the scene as well,0
323, I just LOVE it.,1
324,"am fost la Obosession....a fost cam trist, ca am fost singurul treaz...",1
325,Goodbyes ... Hurt,0
326,"done with the exams. oh my. such a nerve-wracking experience! passed it, though.",0
327,it`s the last day  in lonesometown,0
328,China cautions over visit to Arunachal Pradesh. ,0
329, Bristol`s is the ish! I LOVE their brunch on Sundays. Ruth Chris is good too but I got sick there once.,1
330,I miss Temperance Brennan and Seeley Booth so much unhappy .2,0
331, he`s married,1
332,come back callie  gabbie d ghost unhappy  i love you both,0
333, fml...i have a good idea. we steal phil back and give my dumbass cousin those cats. jk. i`d feel bad,1
334,_rc234 good morning sushine!,1
335,I FOUND A PROM DRESS,1
336,can't wait to see you in that film Karl! I wished you would be here were I'm bu,0
337,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.,0
338, Byron in 3 weeks,0
339," hm, sorry to hear that! well, keep holding on! my break is over, i`ll go take a nap now!",0
340,HE SAID IT  HE ACTUALLY SAID IT and I think I`m gonna cry now. <3,0
341,Centre overrides Bengal,1
342,f*** that weather,0
343, lucky ****! haha we have COLDDD rain up here in MA  i would give anything for hot rain right now!,0
344,Its been a good day hey. happy,1
345," i didn`t have many in there, just 8, and the 1 that got deleted was just sent 2 days ago  and  i cried is on the rr... and i am",0
346,Playn madden with austin. Im going to miss him..,0
347,Headed up to WMC for the day. Hopefully I`ll have enough time to swing by Chinatown on the way home. I`m in the mood for duck!,0
348, oh jealous. Though you`re missing the fried potato bread,0
349,Transparency in Looking for India's ranking? Start at the bottom. ,0
350,year old i am commenting on all the new ladylike videos. trust me. not a troll,1
351,  I`m sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?,1
352,True! Khilado kuch unhappy ,0
353,Ha that was cliche.,1
354, i think Today its not possible 2 play KOL,0
355,there's always shit like this. there's always people who are less deserving getting tickets,0
356,"That didn`t take long.. A fragment of bone did not heal to the major bone, it is now being reabsorbed by my body, may need fix in future",0
357,is learning how to play Waiting for Love by P!nk on acustic guitar!  epic,1
358,My replacement iron ring arrived.  It`s shiny.  And a bit more jagged than the original,1
359,I hit that,1
360,I`m one of them... Just got off phone w/ chanel   I told he  to tell u ur a brat for the temptation... Which I couldn`t pass up! Thanks!,1
361,i NEED MY fRYEND!,0
362," ooh, work im afarid  looking forward to a sunny weekeknd tho!!!",0
363,@_Trystianity_ you got some sexy pics girl!!!  Love the eyebrow piercing!  I used to have a ton of piercings now I only have my ears  lol,1
364,In shower and getting ready after I come out!  Going Christening!,1
365, haha i agree ! i am her test dummy. i just go in and say 'do whatever you want' and i always love it.  she is magic!,0
366,"Ahhhhhh i feel ill , i dont think i should drink :L lmaoo",0
367,YES!! REPRIEVE!! One paper pushed back until Friday! That leaves just three more pages due by 4:00pm... not even a problem.,1
368,Brilliant weekend.  BRILLIANT I SAY!    In work now and actually working .,1
369,Gentle reminder on our TP guidelines happy  please read and spread. Thank you. happy KISSES TheFashionIcon,1
370, hello you!  you should totally go to the biggest shopping center in Europe and we can go shopping together   ****,1
371,ED issues notice to for violation of provisions to the tune of Rs 73 crore in IPL.,0
372," THE TERMINAL was my kind of movie  well, anything with airplanes & hot chicks in it, is my kinda movie",1
373,Deep scratch ;_;All the paint is gone  you see the bare metal. So it needs to be fixed to avoid getting a rusting car soon unhappy ,0
374," Lol - I could try!  Seriously tho, dont do all of it! That sucks! ****",1
375, Thanks for following!,1
376, I see. Lol. I`ll make it fun for you to follow me tomorrow...I have to go to bed now.,0
377,is waiting for the estate agent to do valuation. oh joy. *sigh* i need to be in the funhouse  pink baby come back!!!!,1
378,inside on a beautiful day!,0
379, Hey I texted you but you never responded. We stopped at a friend`s & ended up staying.,0
380,So tired n sick-what the **** is wrong w me,0
381," I hope you have someone to spell you so you can wander a bit! Man, I feel like signing off Twitter for a couple of days.",0
382,Best day at park for Mother`s day -- love my Mum to bits!! Massive weekend tho -- wee bit weary but super content!,1
383, I have a feeling that we`ll be able to get anything we want as long as it`s 'green.',1
384, no offence :)** Don't want to hurt anyone. All i,1
385,"I just found out that one of my friends, someone who I use to talk to all the time who has disappeared is blocking me from Flickr.",0
386,this wasnt meant to sound ano sad ,0
387,Tinkling the ivory keys on a grand piano tomorrow. The small things in life that keep me excited!,1
388, YOU GAVE A GOOD SPEECH AT THE BREAST CANCER FOR REVLON FOR WOMEN TODAY,1
389,"  youre diabetic?   so is my dad.  & i might be too, not sure.  are you still allowed to eat sugar throughout the day?",0
390,i`m a bum today,0
391,true,1
392,Have a huge block of snack chocolate here. Tis calling my name already,0
393,"Jay Leno`s LAST NIGHT..Jay, you will be missed",0
394,Nothing moves faster than a girl untagging herself from an ugly picture :)KISSES TheFashionIcon,0
395,Centre allows to prosecute former Principal Secretary of Delhi chief minister Arvind Kejriwal,0
396," soooooo wish i could, but im in school and myspace is completely blocked",1
397,i`m still in bed and on the laptop ...yep borin !!!,1
398,Dude,0
399, I want to Forgive and Forget this! Please and I dont like him I promise I am going to live without drama for now!So Please,1
400,this is jimin to yoongi unhappy  ,0
401,although  (Volterra) is killing it right now here in la,0
402, can u online on your hotmail?,1
403,What we did after the climax shot happy,1
404,yay! got to order more diapers from  i`m confused though. what`s the point of cute prints if they have to be covered up?,0
405,oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz,1
406,we finally got jinyoung to wipe it for jaebum himself but their precious son blocks it for the world to witness it.1,1
407, yeah that`s fine man! no worries,1
408,Not only has it broken but it`s Monday!!Does this mean Monday can be fix`d?  ? http://blip.fm/~5jgio,1
409," I will definitely pray, and bath  thanks",1
410,Just a new happy,1
411,Still sick  bout to play some ps3 till the laker game starts,0
412,"to indo dormir, good night",1
413, Keep,0
414,_**** R.I.P curls,1
415,157 days to go happy,1
416,I am dreading shopping for a swimsuit,0
417,"Free for all... good nite I mean its a good nite, wateva",0
418," Yah, I know. I appreciate it a ton",0
419,im gonna go to bed alone again.  Sad day for me. but itll get better.,0
420,RIP Big cup... I will miss you,0
421,mannnn...  why aint my music working,0
422,Happy Star Wars Day - May the 4th be with you,1
423,In racketeers backed by politicians prevent legal by govt licensees. ,1
424, hope the show is going well!  just wanted u to know that im home now.. muah!,1
425,Listening to the Legally Blonde musical soundtrack. Lamenting not going anymore. Perhaps I will buy a nosebleed seat and go alone.,1
426,still waiting unhappy ,0
427,imagine if he wins next time too unhappy  unhappy ,0
428,Good morning new followers. Time for my face-sized coffee. Don`t be a stranger,1
429,Only laksa can make me okaay now crying with joy  I need laksa,1
430,Makes me so sad unhappy  they looked so unhappy when I went to SeaWorld ,0
431," where have you been, child? i miss you, we haven`t msned in days!",0
432, lose their light,1
433,St joe is dirty.,0
434,Trying to find someone to go to the mall with.,1
435,Loving lil ken and absolutely dreading saying goodbye in less than a week,0
436,I guess she`s not the type of songwriter who dreams the great ones.,1
437,  Lord Have Mercy ... TECHNOLOGY ! So much Tattos MON DIEU ï¿½ï¿½ a dï¿½ faire mal !,1
438,Har varit pï¿½ Hannah Montana the movie   // cool http://gykd.net,1
439,Didn`t meet Rosie O Donnell but it was still a fun night,0
440," I`m glad he didn`t get too hurt, I know some bad things can happen on motorcycles  you and everyone else are okay too, right?",1
441,is relaxing after working on Mothers Day.  Oh well. A good day had.  Hope you are all well,1
442,Am now a member of International Thespian Society Troupe #6492!! Now if I can only make my family stop fighting....sigh,0
443, I was being childish lol cos one of them said that pic of Jake in Down to earth made them vomit,1
444, doh! I`m out of town so I can`t get my results from the mail,0
445,for private airlines follow in revoking flying ban on Sena's ,0
446,Is pretty **** chipper today  even if the weather is rubbish! Excited for things to come!  ****,0
447,In Assam,0
448,Use this link to start earning free cash http://tinyurl.com/coboyf  Just sign up and get paypal cashouts of minimum $1  !!!,1
449," yes - I`m having my usual battle with my bed. Bed is winning, so far  How are you chick?",0
450,Listening to Jesse`s music  & on MySpace. Also getting the hang of Twiiter. I feel that i need more followers.  Don`t be shy!,1
451, lol  well im gonna totter off. my sister trashed my room coz i wouldn` tlet her on.. i need to go cut her guitar strings,1
452, my **** feels smaller when i look at you,0
453,made an appointment for the cat to see the vet in the morning. He seems kind of thin and needs a checkup anyway.,1
454,MY GOSHHH :3 A NEW FOLLOWER  hi there! i won`t **** you! i lie. >:],1
455,Manohar sworn in as chief minister of ,1
456,"Going shopping  Then Sunday dinner, round two :p",1
457,"Oh god, a moth was living in a **** power outlet!  (Actually, my PowerSquid.)",0
458," Hey, Candis.",1
459," I have placed an order with the HOH people, but they are taking forever to process it!  Cant wait to start selling it. xo",0
460,lunch at 5.30pm!,1
