,Message,Target
120,India pushes universities to accept 3yr graduates for courses. ,1
121, i don%27t know if you saw my comment yet,0
122,Said it yesterday... happy,1
123,Stats for the day have arrived. 1 new follower and NO unfollowers happy  via,1
124,tonight 7pm,1
125,Tehmina Janjua to be 1st woman foreign secretary. ,1
126,5640 is less than 155 in world,1
127,Free market is tops!!! Real human rights sound great to me,1
128,Govt cuts rates on schemes marginally. ,1
129,government okays 33% reservation for women in state jobs ,1
130,i miss so much unhappy ,0
131,Hi :D Retweet for a follow!!!,1
132,I miss my baby unhappy  ,0
133,No stream tonight! Throat is killing me. unhappy ,0
134,And I miss my bedroom too unhappy ,0
135, Bengal unit of finally gets a full-time chief. ,1
136,WATCH Union Budget 2017 LIVE on ABP News 11:00 AM onwards ,0
137,WUUT SERIOUSLY? ,0
138, Who hacked me unhappy ,0
139,Tell us about happy,1
140, the other half of the time it crashes unhappy  It's embarassing when I' ,0
141,that's insane! good luck for that! I took it off yesterday afternoon. :D,1
142, but in reality ALONE and LONELY  unhappy ,0
143,Car sales recover from in all regions -- barring east and  ,1
144,13 Reasons Why producers: we care about youth mental health :)13RW producers: *show young audience graphic rape and suicide s,1
145,SO PRECIOUS I REALLY MISS HIM unhappy   .2,0
146, says of her bid to enter ,1
147,mutual: let's talk more!me: for sure!mutual:  happy  me:.3,1
148,2nd phase begins; CM Okram Ibobi casts his vote,1
149,Friday after the conference some of us will go for dinner to favourite smile,1
150, finds Indian Trump,1
151,Hi Aled,0
152,Supreme Court is told that people not being allowed to deposit notes till Mar31 as promised,1
153,Mmmmmmmm love naughty wives smile,1
154,Modi had tested waters with letter to on ,1
155,Pls RT[NCT FIC] Love Song,1
156, depth charges  sonobuoys.Pse note the 'msl-torp' getting released,1
157,can you say Hi Mekisha? unhappy ,0
158,My only one cat yang manja sangat and now someone has took him unhappy  ,0
159, what the numbers say,1
160,Nothing is ever as it seems. What looks bad today,1
161,How to shield your child from and  ,1
162,PLAYMFS: need moodbooster juseyo unhappy  jily_jelly,0
163,sociopath full raid gear sad  ,0
164,No girl unhappy  that's why. Wa ropiwa 1. Sandton is unnecessarily expensive2. Try salons in Braam.,0
165,A question for America,1
166,Top bureaucrat is innocent,0
167,Everyone from getting punched :D,1
168,Streaming later in the day (night stream) since i have to go and take care of the internet contract,0
169,So,1
170,Why may find it tough to control govt from jail. ,1
171, you'll be see,1
172, all arrangements made to ensure free  fair election: CEC (F,0
173,exactly same in was thinking.. unhappy  ,0
174,Thanks for the recent follow Happy to connect happy  have a great Thursday. Get it.1,1
175,we would love to have you as a guest on podcast sometime!!! Only 15 minute smile  interested???,1
176,Share the love: thanks for being top new followers this week happy  Want it,1
177,Supreme Court names former CAG as head of 4-member panel of administrators to run 1/3,1
178,Comparing 2015 with 2017. ,1
179,whaaaaaaaat!!! You and unhappy  ,0
180, congratulations to both of you. happy,1
181,PSA: REMEMBER THIS WHEN YOU ASK ARTISTS TO DRAW FOR YOU. I'd say the same thing for writers but apparently commissi ,0
182,More kid/parent friendly spaces like this please.,1
183,I say keep with it. happy,1
184,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want it.4,1
185, CEO today at 7,1
186,Feel so fucking shit today unhappy ,0
187,Seems you like my black lingerie picture then happy,1
188,Thanks for being top engaged community members this week happy  (Want this ?,1
189,Did you notice? There is no killings of RSS / BJP workers in another Southern State? CM is dismantling Xtian infra in Munnar?.1,1
190,Yeaaaah! Alpha Invitation well received happy,1
191,Another great song  Have a listen. Its good! You may well like it happy.1,1
192,EXCLUSIVE JNU FIR marks AISA leadership,1
193, Join  vote for the singer! Do spread the word. :D,1
194,Ministers of PMLN are happy like those students who never studied for exams  luckily exams got delayed. They'll still ha,1
195, was within budget,1
196,Supreme Court asks govt to explain why need pre-censorship.  ,1
197,Time just flies,0
198,To know about the safety features of watch special interview with Dr. Ajay Bhushan Pandey,0
199,pips singing let it snow crying with joy,1
200,Ravel Morrison unhappy  ,0
201, Others: 0,1
202,Welcome happy,1
203,arisun at town hall has pretty terrible service and rude staff. we only went there because ICG's fryer was broken unhappy ,0
204,Jaitley says likely to pick up further in coming quarters. ,1
205,jungkook looks like he gives the biggest and warmest hugs unhappy  .1,0
206,thanks for the recent follow,1
207,India rushes to put out fire. ,1
208,Surround yourself with positivity happy,1
209,Younger. Softer. crying with joy,1
210,i miss my boys unhappy  i have started working with my own local boys but they are very nervous college friends,0
211,CRPF getting to take on planted by ,1
212,Why doctors,1
213,just now I saw. But you did not reply unhappy ,0
214,That would be a great trick happy.1,1
215,Don't say that unhappy ,0
216,This escalated quickly,0
217,BSP boss is not averse to joining forces with non-BJP parties. ,1
218, a love story,0
219,still waiting unhappy ,0
220,Same unhappy .1,0
221,An old street directory of had astounding detailing. ,0
222,OMG I'M SO HAPPY!!  new video about ma bigbang babies happy,1
223,Lessons for from school. ,1
224,I'm trying to stay positive but I can't help be jealous of princess Mia's life. All she does is cuddle and eat unhappy ,0
225, Kabali's spell,1
226, breather for highway booze,1
227,Damn it isn't available here unhappy  ,0
228,I've had it since December  my hairs stopped snapping off! It's made a massive difference! Get the,1
229, and more. Also in epaper. .40,0
230,Look like somethings i will ignore xD Kart Racing when? unhappy ,0
231,Telecom operator will acquire the business of Telenor India in all seven circles where it holds spectrum.,1
232,fuck. tried changing my settings but still in india. unhappy ,0
233,Cram reading unhappy ,0
234, only on vehicles: Gadkari.,1
235,Education rankings throw up surprises. ,1
236,High Court grants stay on criminal proceedings against minister in case filed by MLA Mohua Moitra.,1
237,With national body meeting,1
238,Centre mobilises 247 companies (about 24,1
239,Mystery over effect in data. ,1
240,imagine if he wins next time too unhappy  unhappy ,0
241,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want this.3,1
242,Rape-accused leader Gayatri Prajapati nabbed --after roaming in Delhi,1
243,Prepare to be inspired! happy,1
244,thanks for the recent follow.3,1
245, KP Nayar says. ,1
246,Amazing stuff!!! Thansk for this happy  Birth Control - Gamma Ray (1972),1
247,Ok. Just please read the replies on this....,1
248, and have yourself a groovy Thursday!  happy.1,1
249,Kiera's Quest: Awakenings (Kiera's Quest  Book 1),1
250,Thanks for the recent follow Happy to connect happy  have a great Thursday..6,1
251, and mixing folklore with history.   ,1
252,Thanks for the recent follow Happy to connect happy  have a great Thursday..9,1
253,to visit today for the 1st time after taking oath as UP CM ,1
254, how not to bore your friends). ,1
255, Order what ever you want to eat through our website.May you all have a great day happy.3,1
256,Good morning every one.1,1
257,I face swapped a cat with a dog and it's really upsetting unhappy  .2,0
258,Gamer Follow Train!Follow MeRetweet thisFollow all who retweetedGain active followers happy  450,1
259,Your life is a reflection of the way you think. If you change the way you think,1
260,sounds family ,0
261,in may go away happy,1
262,The road and traffic signs section of theory revision is such a myth unhappy ,0
263,i love him crying with joy,1
264,you're a kabute unhappy ,0
265,Thanks for the recent follow Happy to connect happy  have a great Thursday..30,1
266,Yeah ,0
267,People wanted to buy in bulk from govt,1
268,3 quaint digs for those on a budget (or even less). ,1
269,Thanks for the recent follow Happy to connect happy  have a great Thursday..28,1
270,In TN,1
271,A little bit overdramatic death happy,1
272,US visa worries,1
273,Well thanks for stoping by unhappy ,0
274,loool i'm mad avoid me today :D,1
275,thanks for the recent follow. Much appreciated happy   Want this ?.3,1
276,friendly reminder that you can enjoy a movie or television show without having to trash another happy,1
277,blessing your first day of April happy,1
278, Election Commission on plea seeking scrapping of and other benefits given to ,1
279,What Jharkhand body has been doing to upgrade pitch for test. ,1
280,Thanks for the recent follow Happy to connect happy  have a great Thursday..21,1
281,Thanks for the recent follow Happy to connect happy  have a great Thursday..11,1
282,can't wait to see you in that film Karl! I wished you would be here were I'm bu,0
283,Looks awesome Annette,0
284,Let's not forget that it's also Gabriel Tenma White's birthday today!I miss unhappy  ,0
285,FAT ASS GIRL FAT FETISH760 HOT VIDEOS ONLINE,1
286,Why the PM may hang out,1
287,The one with backward cap,1
288, a governor ponders. ,1
289,Zac farro is back By the way hehehe So sad Jeremy is not unhappy ,0
290,Wow i just made a JS compressor that actually checks scoped variables existing. Turns out i have a few issues happy  Linters may be useful happy,1
291, I know I'm not ready to say goodbye unhappy  So,0
292, colleges --for a healthy ,0
293, 2017 at 08:45AM),0
294, getting 70k,1
295,going to go meet andrew for lunch now but i'll be back at to  or to :30,1
296,Indian govt draws goat parallel in case. ,1
297,unhappy  they not ,0
298,Nothing could be better happy.4,1
299,it's not cassandra cain. unhappy  not sure i want to watch batbuffy. batwoman would have been more interesting. ,0
300,Flutter at trial raises fresh scare about accuracy. ,0
301, nine injured: CPRO North Central Railway.,1
302,[thinks about how tfp soundwave is forever trapped in the void realm] unhappy ,0
303,After being at receiving end,1
304,Bring back the ginger curls =(,0
305,When your online crush comes to the meet-up without their Snapchat filter unhappy  ,0
306, keep smiling happy,1
307,25x25? I can go first happy,1
308,Reliance's promises free voice calls  roaming for 1 year... and with cheap ,0
309, lotus garden dreams,1
310, and more. Also in epaper. .45,0
311, dealer said loads of cars were returning due to disabled losing them sad ,0
312, but I'm a bit rusty now! unhappy  ,0
313,wish i had someone to  cuddle me right now unhappy ,0
314,After plan to cap fees,1
315, and more. .1,0
316,Akhilesh to meet newly elected SP MLAs today,0
317,Playoffs rematch complete!  Feels good going to worlds again :D,1
318, publishers lose to photocopiers,1
319,Patna's tires out machine. ,1
320,tells to give 2-month trial run. Also disagrees is a vote for ,1
321,You deserve better . Hope you'll be okay unhappy  ,0
322,so inspiring crying with joy,1
323,i send people bunny pics,1
324,Ye... I will miss you unhappy ,0
325,Merry Christmas everyone happy,1
326,After fracas over overbilling,1
327, i'll give it a try happy,1
328,I love laying in a meadow of flowers listening to Mellow's music ...a great way to relax smile,1
329,How magic combined with organisational strength brought back 1-party system. ,0
330, and more. Also in epaper. .39,0
331,Nothing could be better happy.2,1
332,The offer still going happy,1
333,Puta I know sorry isn't enough pero sorry padin unhappy ,0
334,Help... I want to stop tweeting. All I feel is endless suffering and pain. I tried to deactivate myself many times... Save me... unhappy ,0
335,Former president renders unqualified and unconditional apology in the Supreme Court.,1
336,Promised  denied helicopter,1
337,Punjab,1
338,Thank you so much sir happy  please watch the film and call me happy,1
339,Hi KN fans! happy,1
340,There should be no room for in India for  Indian,1
341, but Genix deserves so much more than Myth! Open your Eyes The Community want,1
342, it's been so much fun and I absolutely love the kids!! Don't want it to be over so soon unhappy ,0
343,Thanks for the recent follow Happy to connect happy  have a great Thursday..20,1
344,Follow me too unhappy  ,0
345,Kids versus Legends crying with joy,1
346, high court judge again plays card. ,0
347,Golly gosh. This is simply dreadful What havoc must be wreaking subsurface? Black salve won't ,0
348,Bengal in a fix over bars: pay for repairs,1
349,Ashok V Desai on formula for tackling of banks. ,1
350,These will be ready long before winners are named. ,0
351, i got goosebumps ,1
352,one direction (band)  whats going on unhappy ,0
353,.- layout- btob happy,1
354, says ,1
355,The Hindu undercurrent that led to surge. My story from Feb.  ,1
356,I've Just Wrote 30 Tweets About But Still Didn't Notice Me crying ,0
357,thanks for being top new followers - have a great week happy,1
358,It's hard to imagine anyone but Robin unhappy  but still exciting nonetheless,0
359, I protect it with a layer of fat :)KISSES TheFashionIcon,1
360,my hair is not as crisp unhappy ,0
361,515 SUBSCRIBERS!!!! :DTHE CONTINUES!,1
362,Dipankar Dasgupta on and pitfalls of ,1
363,With 22 in support,1
364,63% voter turnout in phase 1 of ,1
365,There're time we shcj do/did something that dissapointed ot6,1
366,Hellooo happy  Xbox adHatter (XboxMadHatter),1
367,Ah alright,0
368,Match versus gut feeling in Modi's dig at Supreme Court acts on And more. Also in epaper. ,0
369,Whatever India offers the biggest issue is ,0
370,truuuu!! si grim reaper and sunny huhu grabe love story nila unhappy ,0
371,i want to cry unhappy ,0
372,Idea itself wrong,1
373,I'm surprised you don't use an Adblocker! happy,1
374, I won't be on till later! unhappy ,0
375, flavorful dream ,0
376,Share the love: thanks for being top new followers this week happy  Get it,1
377,How cloaked debate in Draupadi's robes. ,1
378,Now bureaucrats face action for drinking alcohol -- anywhere in the world. ,0
379, whats crazy is when i walked through them doors EVERY ADMINISTRATION + HER WAS THERE THAT NIGHT. so why are her a,0
380,I miss you more unhappy ,0
381,hey,1
382, mine isn't in my inbox unhappy ,0
383,Govt to merge Bharatiya Mahila Bank with for greater services outreach to ,0
384,for trade ? happy  what yeah want ?,1
385,Happy Birthday in Chopin style - Piano Improvisation,1
386,get well really soon Jack unhappy ,0
387, gutka,1
388, spell endures. ,1
389,i want to be mutuals with you so bad unhappy ,0
390,sadly yes. since he was expected to continue losing support before dropping bombs unhappy  going up when expe ,0
391,BJP rushes to shake off upper-caste tag. ,1
392,Another great song  Have a listen. Its good! You may well like it happy,1
393,Mystery over art,1
394,unhappy  they look dead,0
395,Headline inflation as measured by Consumer Price Index (CPI) remained under control for the third successive financial year:,1
396,Lucknow's falls,1
397,I used to like my neighbours,1
398,please take all the rest you needwe love you so so much :(i hope you feel better soon sunshine! ,0
399, Big Brother at academia,1
400,My other accounts:them both or get rekt! :D,1
401,thanks for the recent follow. Much appreciated happy  Get it,1
402,How Centre hiked for jobs scheme by... a (and what you can do with a rupee). ,1
403,Feel like i shoyould be telling you to get the fuck out social media byout also feel really mean because unhappy  silence  love yoyou hope yoyoure okay ,0
404, it just proves me wrong in a matter of days happy  fuck my life happy )),1
405,Minister,1
406, Air India lifts no-fly ban on MP,1
407,Her back unhappy  .1,0
408,3 little ones.. wish you the best happy  sounds like a fun group,1
409, Adityanath's rise,1
410,Hold off the frowns until you've used the new application - which is made by the same team! happy,1
411, get a dog. :D,1
412,Bihar sets Rs25lakh fee for who skip after subsidised education. ,1
413,Sooooo feels like a Friday today unhappy ,0
414, House adjourned till 3pm.,1
415, SC collegium accepts govt thorn,1
416,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.10,0
417,ally unhappy  I can't make a poem about being cute ,0
418,So you thought the has made transparent? ,1
419,Must Feel Like Shit When Men Can Stare Down The Barrel Of A Bong As They Spend Their Kid's Milk Money unhappy ,0
420,If looks could kill......... smile,1
421, says Kanwal Sibal. ,1
422,After DU push,1
423, The bus from Bangsar heading to Awan Besar. Have a Good Day happy,1
424,arrests woman director of a Hong Kong-based firm in a Rs 1478 crore case registered post ,1
425, but water pact remains elusive for India,1
426,After break with Russia,1
427, Leander and Mahesh get away,1
428,Effigies burn on JNU strike after 84% research seat cut and affirmative action junked ,0
429, co-founder of and I'll be moderating tonights tweetchat. happy,1
430,DONT LAUGH unhappy  MEANIE BASE ,0
431,KP Nayar on how party revolt knocked out nominee for labour secretary post. ,1
432,A fish killer going to be pressed younhappy  I the hoe of today you were a  GOOD person .1,0
433,Thanks for up-voting us on PH happy,1
434,most painful thing ever is having feelings for someone you can't be with .. unhappy ,0
435, but some veteran generals see breach. ,1
436,For this visiting Prime Minister,1
437,.NOTHING CHANGED BUT THE DATE .. APRIL 28 MAKE S,1
438,Love you too P!,1
439, plus I want to win that Merc C63 silence  Sooo! happy,1
440,Been streaminuteg for 45 minute not understanding a thing and still.. unhappy ,0
441, Nick? Might he deliver WHEN the time demands it. Story of his life - ,0
442,Attack on Westminster,1
443, appeasement of none is the policy of my govt,1
444, and more. Also in epaper. .30,0
445,instant message cramping sad ,0
446,Guys please help I tried to smoke some lettuce earlier but now my salad is ruined unhappy ,0
447, greeted by CM Captain Amarinder Singh ,1
448,March 20. Plus 15 days. Equals...,1
449,Do you want me to follow you back? If you do this tweet and I will. happy  only,1
450,Love this!,1
451,We're ready for our next fire lighting session at - we have a few keen early birds here already smile,1
452, can't wait for those revealing qa's. happy,1
453,.I can't believe this hasn't been fixed yet,0
454,can I only pick one unhappy  ,0
455,Good evening happy,1
456,thanks for the recent follow. Much appreciated happy  Want this,1
457,Only laksa can make me okaay now crying with joy  I need laksa,1
458, Order what ever you want to eat through our website.May you all have a great day happy.1,1
459,what happened unhappy ,0
460,getting up this morning was a hassle unhappy ,0
461,I need lessons to learn how to start conversations with people and keep chatting with them unhappy ,0
462, Hi,1
463,I love got7 but god i am bored unhappy ,0
464, murderers at large,0
465, this worked out beautifully. If you redesign the import page to suit the whole application would mak,1
466,i hate park jisung so much sad ,0
467, but won't say sorry to man he had assaulted. ,1
468,unhappy  how come people like this have children where's the state intervention ,0
469,Delhi Police has arrested MD Ajay Chandra for not developing a project despite getting funds from investors. ,1
470,Sorry for being tired on stream. Will get some sleep and try be more fun tomorrow. Just wasn't feeling it tonight guys. Not,0
471,Oooh! the shame,1
472,to WIN draw for free download of for Celebrate with us. Developed by for,1
473, 3 switch to Selvam's side. ,1
474, why is key to Europe,1
475,FL design Done by me  Inspired from FL  Hopyou you all love it,1
476,Yogi Adityanath or Keshav Prasad Maurya,1
477,wish knock out lang talaga for the new school year are good and cooperative groupmates please unhappy ,0
478,Palaniswami's victory (and how the dhoti survived),1
479,yeah i am unhappy  thank you so much my angel ,0
480,Slayin_Bodies Going Live...Please Tune In...Thank You happy,1
481, much appreciated happy  Want it,1
482,Good show by pales next to 329% jump in imports. ,0
483, says .1,1
484, Look at this happy,1
485,Pretty much only the Twitters and it doesn't really work out for me sad ,0
486,I had all and then most of you,1
487, and more. Also in epaper. .33,0
488,GDP grew at 7% in quarter,1
489,Client work for rt and favorite happy,1
490,to  days to sell 96000 trucks  buses,1
491,I'm rusty.. Haven't played this game since I was like 10. Just kept dying at that crocodile part crying  ,0
492,OPENING UP TO YOU LOT!RT LIKES WOULD BE LAAAAAVERLY :D .xxENJOY.1,1
493,If it's spring,1
494,Thanks for the recent follow Happy to connect happy  have a great Thursday..19,1
495,major waffle cravings right now sad ,0
496, before I think of them :)KISSES TheFashionIcon,1
497,Ashok V Desai notes that is yet to say a word on whether achieved its goals. ,1
498,Hellooo.. happy  Lil strait (Daddyy_rat),1
499, poor mouse unhappy ,0
500,Let's have dinneeeer please unhappy ,0
501,Totoo po? Waaahhh may heart!!! Heart everywhere happy  love it,1
502, and more. Also in epaper. .51,0
503,In 7 Days: What Calcutta's are learning,1
504,WHY ARE YOU WHIMPER AT ME? ,0
505,I hate throwing up  unhappy ,0
506,If you want a friend in Washington,1
507, give it a Like happy  it's all about choice! :D,1
508, maybe I don't,1
509,Who wants some good vibes? Watch this on YouTube or TV100 application now for FREE happy.2,1
510,Everything is a choice happy,1
511,Sunanda K Datta-Ray on why political ethos must be faulted for the racist attacks on students. ,1
512,Hi! We tried to call your number but got no response unhappy  Please share another suitable time and an alternate number.. cont1.1,0
513,Can a man equated with the Great Leap backwards talk of asks Mukul Kesavan. ,0
514,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.8,0
515, or let take a hit? ,1
516,A year ago today is the last time Sakho played for us unhappy ,0
517,Please return the jacket unhappy  ,0
518,Happy 420 everyone happy,1
519, attaches 42 assets worth crores under the new ,0
520,Polling underway in 40 Assembly seats spread across 7 districts in seventh and final phase of ,1
521,No stamping  tagging of fliers' hand baggage at 7 major from April 1. ,0
522, harvests 1st crop of ,1
523,Today: Congress VP to address rallies in Gonda,1
524,How shattered Firozabad's industry. ,1
525, soldier trekked through snow to take his mother's body home. ,1
526, but customs mean we can't send food abroad unhappy  We do hope your other Birthday dreams come true,0
527,Supreme Court asks Justice Karnan to explain why he should not face proceedings. ,1
528,India's opaque law,1
529, cash cloak for parties,1
530,Hi instant message your friend  friend lang,0
531,Thanks for the great review! smile,1
532,Indian hold promise in battle against ,1
533, rolled into one. ,1
534,Have you smiled today? Never forget to smile happy,1
535,Helloo :D Mr Drippy (CallMeErgan),1
536, bonds for political funding,1
537, we just reply to his tweets?? Like all his other followers do.....This is pointless,1
538,Just chillin~ it's a bit quiet tonight on my tough luck unhappy  what about you??,0
539,Sure is happy,1
540,Does anybody out there need any motion design or animation help?  If so I am available happy,1
541,That would be a great trick happy.5,1
542,Jitters for pervert healthcare in Bengal,1
543,I don't want to adult today.. it's my birthday unhappy ,0
544, isn't it? smile  Britain co,1
545,UGC proposes 20% pay hike for college teachers. ,1
546,Didn't keep it unhappy ,0
547,Corrected. Thanks.,0
548,After outcry,1
549, tolong bantu sampaikan keluhan ARMYs ke dong. Too many complaint here and there since day 1 of ticketing unhappy ,0
550,I need cheering up,0
551, 1 terrorist killed; reports of to  terrorists holed up false: ADG ,1
552,I seriously thought that Coldplay was going to be band like Depeche Mode or U2,0
553,Hey thanks for being my top new followers this week! Much appreciated happy   Want this ?,1
554,Biggest problem for paper books is storage unhappy ,0
555,Here's BSP theory on why with 71% population voted BJP. ,1
556,This is so me though ,0
557,The may be changing its attitude to coalition partners,1
558, savours civic win and Congress loss. ,0
559, you'll be see.1,1
560, Trump on immigration,1
561,I wish i could attend it too unhappy ,0
562,BSP leader shot dead late last night,1
563,Thanks for the recent follow Happy to connect happy  have a great Thursday. (Want this?,1
564,sorry unhappy  i just need sex for the time being,0
565, retains assembly seat ,1
566, as frets and waits for governor's call. ,1
567,honestly college makes me want to curl up into a ball and cry for 3 days straight unhappy ,0
568,Who to bring to MB man unhappy ,0
569,They are family.  It's awful when they go.  Sorry to hear. unhappy ,0
570,Thanks for being top engaged community members this week happy  Want this?,1
571,JP Yadav finds an us-versus-them undercurrent in  ,1
572,We have a few breweries in the UK too.... smile,1
573,I face swapped a cat with a dog and it's really upsetting unhappy  .1,0
574,Time for Modi's reforms. ,1
575,This is just super Can't wait happy,1
576,UGC extends funding scheme for ,1
577,Surit Doss on what you should do if you forget dynamic of your mobile ,1
578,Dear attendees,0
579, 2010 Week 11,0
580,Another 'go-back' shooting in US,1
581, DM us happy  S,1
582,Why India is not ready for manipulation in human embryos. ,1
583,I miss Louis' tweets unhappy ,0
584,Modi's call to ensure justice for women facing evil customs.  ,1
585,Omg I'm sad to say that I actually don't remember this! unhappy  when did this happen??,0
586,8 killed in election violence,1
587, bureaucrats wonder. ,1
588, finds nothing in to sell to voters. ,1
589,i'm grateful to my mom for giving birth to me and not abort me crying with joy,1
590,this is jimin to yoongi unhappy  .5,0
591,Now gets license to raid -- without citing grounds. ,1
592,The middleman (or conman) nephew tapped to bribe election commission officials. ,1
593,There isnt a new Riverdale tonight ? unhappy ,0
594,Our crazy EASTER! Our donkey is insane! Seriously crazy haha!,1
595, our reunion is in August unhappy ,0
596,India would do well to abolish the says ,1
597, 100 per cent viva to follow ,1
598, i want to explode like a grenade to the point where people will die with me. sad ,0
599, there is no project from India to test on the ,1
600,Supreme Court takes on record 'unqualified apology' tendered by Bengal counsel,1
